date,open,high,low,close,volume,target
2014-01-02,0.150558,0.150934,0.13518,-1.141632,285200.0,-0.02141
2014-01-03,0.167299,0.171323,0.164041,0.042919,352600.0,0.000823
2014-01-06,0.159638,0.159638,0.146999,-0.583691,297500.0,-0.011177
2014-01-07,0.165967,0.166548,0.155123,-0.343349,255300.0,-0.006649
2014-01-08,0.171237,0.171237,0.156811,-0.32618,1979200.0,-0.006359
2014-01-09,0.154601,0.154601,0.141848,-0.858368,1363600.0,-0.016841
2014-01-10,0.174777,0.178569,0.168791,0.532193,1038800.0,0.01062
2014-01-13,0.153152,0.164604,0.150782,-0.540779,483300.0,-0.010678
2014-01-14,0.168791,0.170987,0.163402,0.068668,533600.0,0.001371
2014-01-15,0.162009,0.171577,0.160216,0.188835,422900.0,0.003764
2014-01-16,0.20928,0.213847,0.204713,2.094429,792300.0,0.041589
2014-01-17,0.180441,0.184063,0.174531,0.523609,631200.0,0.009982
2014-01-21,0.156694,0.156694,0.146312,-0.60086,555100.0,-0.011342
2014-01-22,0.159271,0.161562,0.154117,-0.317597,506500.0,-0.006064
2014-01-23,0.167112,0.16788,0.151553,-0.343349,957400.0,-0.006595
2014-01-24,0.155911,0.156685,0.127874,-1.622322,953500.0,-0.031369
2014-01-27,0.190551,0.191549,0.168992,0.49786,680100.0,0.009938
2014-01-28,0.17844,0.183777,0.176266,0.772533,476200.0,0.01527
2014-01-29,0.144362,0.164804,0.143973,-0.635204,575600.0,-0.012367
2014-01-30,0.175841,0.181361,0.166971,0.532196,601200.0,0.010491
2014-01-31,0.14198,0.153685,0.139639,-0.652359,536500.0,-0.012726
2014-02-03,0.158676,0.16085,0.130223,-1.476399,579900.0,-0.029172
2014-02-04,0.164185,0.177821,0.161539,0.497856,1044100.0,0.010133
2014-02-05,0.150291,0.164596,0.149082,-0.128757,629700.0,-0.002594
2014-02-06,0.166009,0.185402,0.166009,0.866955,852100.0,0.017513
2014-02-07,0.169367,0.18525,0.164205,0.806869,477900.0,0.016019
2014-02-10,0.161677,0.167539,0.159723,-0.051498,341100.0,-0.001006
