date,open,high,low,close,volume,target
2014-01-02,0.137177,0.140552,0.128404,-1.051551,1355800.0,-0.017742
2014-01-03,0.160465,0.163901,0.156,0.460601,1191400.0,0.007912
2014-01-06,0.146073,0.146073,0.133292,-0.443222,1625200.0,-0.007553
2014-01-07,0.147069,0.147755,0.13522,-0.634407,1504500.0,-0.010894
2014-01-08,0.152064,0.153626,0.141647,-0.330238,821700.0,-0.005733
2014-01-09,0.141246,0.141944,0.131293,-0.834293,1647400.0,-0.014568
2014-01-10,0.154218,0.16609,0.151738,0.74739,1385800.0,0.013243
2014-01-13,0.147527,0.156096,0.141756,-0.434532,1608400.0,-0.007599
2014-01-14,0.152437,0.15508,0.143626,-0.304169,2197600.0,-0.00536
2014-01-15,0.140753,0.15599,0.136502,0.0,2607800.0,0.0
2014-01-16,0.179375,0.185044,0.177072,1.685971,5735900.0,0.029869
2014-01-17,0.159964,0.161856,0.151363,0.139049,2804300.0,0.002392
2014-01-21,0.143124,0.144668,0.129394,-0.65179,2468900.0,-0.011186
2014-01-22,0.148245,0.149807,0.143038,-0.156433,1395800.0,-0.002715
2014-01-23,0.146846,0.14702,0.12196,-1.260136,3376300.0,-0.02193
2014-01-24,0.143557,0.144269,0.119893,-1.460007,3760300.0,-0.025978
2014-01-27,0.16675,0.168211,0.147386,0.304169,2817800.0,0.005556
2014-01-28,0.160485,0.167206,0.157215,0.76477,1474900.0,0.013893
2014-01-29,0.136699,0.149779,0.133832,-0.590961,1762600.0,-0.010589
2014-01-30,0.165343,0.165343,0.153572,0.651791,1649600.0,0.011804
2014-01-31,0.131524,0.146021,0.130808,-0.295475,1283700.0,-0.005288
2014-02-03,0.147256,0.148695,0.127823,-1.03418,2103400.0,-0.018608
2014-02-04,0.153608,0.168826,0.150675,0.842987,1792700.0,0.015456
2014-02-05,0.135147,0.151036,0.134605,-0.147743,3128000.0,-0.002668
2014-02-06,0.155925,0.177287,0.154657,1.138466,2339700.0,0.020611
2014-02-07,0.152981,0.166107,0.145708,0.677864,1591800.0,0.012024
2014-02-10,0.145066,0.149448,0.142086,-0.25203,1193100.0,-0.004417
2014-02-11,0.160005,0.186765,0.160005,1.616448,2690200.0,0.028458
2014-02-12,0.161288,0.163171,0.154441,0.373691,1747100.0,0.006397
2014-02-13,0.139789,0.152886,0.137748,-0.034759,1334100.0,-0.000591
2014-02-14,0.160716,0.168375,0.160546,0.617019,1429700.0,0.010501
2014-02-18,0.186212,0.187054,0.172233,1.746804,3631300.0,0.02942
2014-02-19,0.14184,0.15951,0.139222,-0.530121,1609100.0,-0.008673
2014-02-20,0.155461,0.166354,0.15348,0.756077,2234200.0,0.012478
2014-02-21,0.15475,0.159477,0.151001,0.043457,2299600.0,0.000708
2014-02-24,0.145299,0.160774,0.143996,0.156425,2094600.0,0.002548
2014-02-25,0.144663,0.146288,0.127765,-1.095009,3582100.0,-0.017792
2014-02-26,0.150013,0.151006,0.139261,-0.443214,1092500.0,-0.007332
2014-02-27,0.149175,0.159007,0.148008,0.225952,1480200.0,0.003765
2014-02-28,0.145528,0.156485,0.14171,-0.356316,1144600.0,-0.005916
2014-03-03,0.138984,0.145832,0.134141,-0.782146,1785800.0,-0.013062
2014-03-04,0.161674,0.167427,0.155243,0.504051,1502100.0,0.008529
2014-03-05,0.129869,0.138762,0.128024,0.097271,1688900.0,0.001632
2014-03-06,0.139084,0.147125,0.138079,0.521717,1784700.0,0.008739
2014-03-07,0.124732,0.124732,0.100819,-1.229133,4396100.0,-0.020411
2014-03-10,0.107651,0.107651,0.094937,-1.574006,2081400.0,-0.026683
2014-03-11,0.13314,0.139933,0.111543,-0.946167,1781200.0,-0.016479
2014-03-12,0.132116,0.142741,0.129813,0.486355,1767500.0,0.008613
2014-03-13,0.151594,0.154754,0.127364,0.044213,3584300.0,0.000776
2014-03-14,0.1307,0.138771,0.123683,-0.194546,2704000.0,-0.003413
2014-03-17,0.145487,0.153409,0.143375,0.813534,2014300.0,0.014321
2014-03-18,0.134694,0.141636,0.133826,0.380233,1547500.0,0.006599
2014-03-19,0.120531,0.122945,0.10191,-1.335247,2991800.0,-0.023022
2014-03-20,0.125405,0.1397,0.121346,0.088425,1857000.0,0.001561
2014-03-21,0.141801,0.147263,0.137219,0.504032,1665900.0,0.008881
2014-03-24,0.142403,0.143276,0.126684,0.327187,1341500.0,0.005714
2014-03-25,0.1472,0.161093,0.1472,1.538627,2600800.0,0.02672
2014-03-26,0.138487,0.139502,0.118529,-0.459827,3794200.0,-0.007778
2014-03-27,0.132922,0.143831,0.130876,0.265289,1602900.0,0.004522
2014-03-28,0.143434,0.15107,0.141737,0.698571,1693600.0,0.011855
2014-03-31,0.134733,0.1401,0.129702,0.300659,2196600.0,0.005042
2014-04-01,0.148063,0.155072,0.144058,1.22913,2125700.0,0.02051
2014-04-02,0.137744,0.142813,0.135945,0.583618,1740900.0,0.009543
2014-04-03,0.124559,0.129094,0.116299,-0.212227,1582200.0,-0.003437
2014-04-04,0.144203,0.15363,0.135752,0.282974,1896900.0,0.004599
2014-04-07,0.128287,0.138803,0.125213,0.159168,2030400.0,0.002575
2014-04-08,0.132974,0.158631,0.132812,1.255661,2630400.0,0.020263
