date,open,high,low,close,volume,target
2014-01-02,-0.002248,-0.000607,-0.010017,-1580.0,300.0,-0.008881
2014-01-03,-0.00013,0.004254,-0.00118,16.0,200.0,9.1e-05
2014-01-06,0.002178,0.004894,-0.010412,-1836.0,500.0,-0.010412
2014-01-07,0.000504,0.005616,-0.002865,-305.0,400.0,-0.001748
2014-01-08,0.001406,0.001406,-0.006963,-911.0,400.0,-0.00523
2014-01-09,0.002747,0.003047,-0.003895,-319.0,400.0,-0.001841
2014-01-10,0.003671,0.003671,-0.007423,-425.0,200.0,-0.002457
2014-01-13,0.002086,0.002121,-0.010374,-1647.0,300.0,-0.009546
2014-01-14,0.001919,0.00828,-0.002171,1357.0,300.0,0.007941
2014-01-15,0.002496,0.008592,-0.001132,1415.0,700.0,0.008215
2014-01-16,0.001353,0.001923,-0.007463,-892.0,300.0,-0.005136
2014-01-17,0.001603,0.002836,-0.003884,-423.0,400.0,-0.002448
2014-01-21,0.003481,0.004352,-0.005129,150.0,500.0,0.00087
2014-01-22,0.003478,0.007536,0.000464,395.0,300.0,0.00229
2014-01-23,-0.003268,-0.003268,-0.016744,-2585.0,800.0,-0.014951
2014-01-24,-0.003723,-0.00182,-0.011133,-1810.0,1200.0,-0.010628
2014-01-27,-0.002071,0.002861,-0.005151,-290.0,1000.0,-0.001721
2014-01-28,0.004994,0.008977,0.002259,1002.0,1000.0,0.005957
2014-01-29,-0.002807,-0.00185,-0.007163,-464.0,600.0,-0.002742
2014-01-30,0.002679,0.010376,-0.003722,1702.0,500.0,0.010086
2014-01-31,-0.014274,-0.00484,-0.016498,-939.0,700.0,-0.005509
2014-02-03,0.000519,0.000519,-0.029503,-4246.0,1000.0,-0.025049
2014-02-04,0.002632,0.004629,-0.004629,-448.0,500.0,-0.002711
2014-02-05,0.00202,0.00202,-0.010794,-742.0,400.0,-0.004502
2014-02-06,0.007466,0.012708,0.004663,1925.0,300.0,0.011732
2014-02-07,0.004361,0.019072,0.004361,3010.0,600.0,0.018133
2014-02-10,0.004083,0.006591,-0.005976,110.0,400.0,0.000651
2014-02-11,-0.001449,0.010969,-0.002247,1395.0,400.0,0.008249
2014-02-12,0.002258,0.005307,-0.003607,-375.0,300.0,-0.002199
2014-02-13,-0.002233,0.012243,-0.005078,2082.0,400.0,0.012237
2014-02-14,-0.001463,0.009354,-0.003478,203.0,300.0,0.001179
2014-02-18,0.003329,0.003329,-0.003416,-133.0,300.0,-0.000771
2014-02-19,-0.001114,-0.000615,-0.012839,-2212.0,300.0,-0.012839
2014-02-20,-0.00047,0.001834,-0.007755,-236.0,400.0,-0.001388
2014-02-21,0.000918,0.007366,0.000135,276.0,300.0,0.001625
2014-02-24,0.000623,0.005625,-0.000823,-114.0,300.0,-0.00067
2014-02-25,-0.002382,0.007259,-0.004035,715.0,300.0,0.004206
2014-02-26,0.000463,0.003579,-0.004756,-248.0,200.0,-0.001453
2014-02-27,-0.003913,0.007772,-0.004476,1257.0,300.0,0.007374
2014-02-28,0.001339,0.01157,-0.00117,1978.0,500.0,0.011518
2014-03-03,0.002257,0.00742,-0.005463,792.0,800.0,0.004559
2014-03-04,0.006596,0.019994,0.006596,3489.0,700.0,0.019994
2014-03-05,-0.002809,0.004276,-0.003371,666.0,400.0,0.003742
2014-03-06,0.004444,0.019921,0.001931,3520.0,600.0,0.019703
2014-03-07,0.005621,0.011967,0.000933,1597.0,400.0,0.008766
2014-03-10,0.001235,0.0143,-0.000931,2628.0,400.0,0.0143
2014-03-11,0.002817,0.005848,-0.002629,701.0,600.0,0.003761
2014-03-12,-0.003223,0.003907,-0.005858,649.0,300.0,0.003469
2014-03-13,0.00213,0.00587,-0.013294,-2000.0,700.0,-0.010652
2014-03-14,0.000404,0.004075,-0.012555,-1890.0,600.0,-0.010175
