date,open,high,low,close,volume,target
2014-01-02,-0.002091,-0.000955,-0.01927,-16.960083,653300.0,-0.014591
2014-01-03,0.001362,0.006329,-0.012222,-12.759887,622900.0,-0.01114
2014-01-06,-0.000353,0.010382,-0.017366,6.849975,656600.0,0.006048
2014-01-07,0.006397,0.023132,0.002168,23.539917,669400.0,0.020658
2014-01-08,0.000791,0.004325,-0.00564,-5.569946,508700.0,-0.004789
2014-01-09,0.000389,0.004605,-0.011447,-3.810059,474800.0,-0.003292
2014-01-10,0.002358,0.002358,-0.009751,-4.849975,489700.0,-0.004204
2014-01-13,-0.005458,0.012743,-0.013231,-9.119995,612800.0,-0.007938
2014-01-14,-0.00079,0.018584,-0.00587,19.48999,624000.0,0.017101
2014-01-15,0.000768,0.013052,0.000768,13.650024,576400.0,0.011775
2014-01-16,-0.001995,0.014605,-0.001995,11.790039,786400.0,0.010052
2014-01-17,0.000473,0.001865,-0.014536,-6.609985,610100.0,-0.00558
2014-01-21,0.002937,0.024566,-0.001307,27.909912,754700.0,0.023692
2014-01-22,0.001692,0.006833,-0.001227,7.340088,632200.0,0.006087
2014-01-23,-0.005184,0.001385,-0.014127,-4.430054,531700.0,-0.003651
2014-01-24,-0.011465,-0.004715,-0.029962,-28.929931,867000.0,-0.023932
2014-01-27,0.000966,0.005983,-0.03535,-36.690064,1203000.0,-0.031095
2014-01-28,0.009762,0.022218,0.006062,19.290039,632500.0,0.016873
2014-01-29,-0.010778,-0.004155,-0.025427,-28.73999,684900.0,-0.024722
2014-01-30,0.010028,0.025551,0.007038,26.209961,791600.0,0.023117
2014-01-31,-0.014276,0.000897,-0.017957,-15.109985,810700.0,-0.013026
2014-02-03,-0.000926,0.005415,-0.032877,-31.400025,736600.0,-0.027426
2014-02-04,0.003996,0.013776,-0.005649,12.630005,553000.0,0.011343
2014-02-05,-0.002557,0.006926,-0.019731,-2.109985,532300.0,-0.001874
2014-02-06,0.003923,0.019128,0.001762,14.329956,452200.0,0.012749
2014-02-07,0.018474,0.051145,0.016858,57.050049,1393400.0,0.050117
2014-02-10,-0.003681,0.013895,-0.006985,12.429931,584300.0,0.010398
2014-02-11,-0.000679,0.006731,-0.005589,6.110108,544200.0,0.005059
2014-02-12,0.007422,0.029384,0.0,32.709961,1145800.0,0.026946
2014-02-13,-0.004139,0.028846,-0.005952,29.429931,1222300.0,0.023607
2014-02-14,8e-06,0.006763,-0.005423,3.910034,906600.0,0.003064
2014-02-18,0.002828,0.026438,-0.003102,21.660035,1111300.0,0.016922
2014-02-19,0.000277,0.005654,-0.023394,-27.880005,1065600.0,-0.021419
2014-02-20,0.008118,0.009609,-0.01549,9.23999,1719100.0,0.007254
2014-02-21,0.034981,0.039065,0.0,32.650024,2073200.0,0.025448
2014-02-24,0.001026,0.006347,-0.008756,-1.97998,825500.0,-0.001505
2014-02-25,0.002451,0.033106,0.001127,39.819946,1215200.0,0.030312
2014-02-26,0.003716,0.016195,-0.008489,3.449951,1097000.0,0.002549
2014-02-27,0.00014,0.004532,-0.005114,0.850098,629800.0,0.000626
2014-02-28,-0.000692,0.00682,-0.013529,-8.950073,926400.0,-0.006592
2014-03-03,-0.013271,-0.005049,-0.02064,-10.599976,701400.0,-0.007859
2014-03-04,0.008197,0.022985,0.006553,30.079956,670900.0,0.022477
2014-03-05,-0.001717,0.002127,-0.008638,2.110108,476900.0,0.001542
2014-03-06,0.000233,0.006224,-0.006808,-6.03003,484500.0,-0.0044
2014-03-07,0.005973,0.006955,-0.007586,-6.359985,562500.0,-0.004661
