date,open,high,low,close,volume,target
2014-01-02,0.258527,0.259367,0.248612,-0.570408,651700.0,-0.009586
2014-01-03,0.270198,0.270538,0.262902,0.055462,502800.0,0.000941
2014-01-06,0.256121,0.257646,0.251035,-0.451591,717700.0,-0.007655
2014-01-07,0.274352,0.275719,0.269911,0.530815,620900.0,0.009068
2014-01-08,0.261208,0.261377,0.253759,-0.245606,552900.0,-0.004158
2014-01-09,0.269873,0.270383,0.263923,0.316895,746800.0,0.005387
2014-01-10,0.282007,0.28505,0.277103,1.069546,2560100.0,0.018084
2014-01-13,0.252259,0.25558,0.242128,-0.942788,1468400.0,-0.015658
2014-01-14,0.264417,0.270829,0.260536,0.261452,1960300.0,0.004411
2014-01-15,0.260712,0.263735,0.256008,-0.055462,1718700.0,-0.000932
2014-01-16,0.273321,0.273321,0.264073,0.277287,1755900.0,0.004662
2014-01-17,0.244484,0.254692,0.23963,-1.061619,4587300.0,-0.017767
2014-01-21,0.276536,0.276706,0.266483,0.546654,2753300.0,0.009314
2014-01-22,0.274378,0.280962,0.272015,0.808098,3314800.0,0.013642
2014-01-23,0.272216,0.272216,0.249566,0.110912,1842000.0,0.001847
2014-01-24,0.258234,0.258733,0.237621,-1.093289,1006000.0,-0.018174
2014-01-27,0.262393,0.263409,0.250879,-0.459518,1635200.0,-0.00778
2014-01-28,0.265978,0.269049,0.26137,0.174305,1479600.0,0.002974
2014-01-29,0.252356,0.266817,0.249974,0.118824,1652400.0,0.002022
2014-01-30,0.283787,0.284127,0.267657,0.665501,1250700.0,0.0113
2014-01-31,0.231163,0.231835,0.222265,-1.861794,1013500.0,-0.031258
2014-02-03,0.254424,0.257371,0.237787,-1.0854,832300.0,-0.018811
2014-02-04,0.264167,0.270879,0.261694,0.118847,753400.0,0.002099
2014-02-05,0.263634,0.270155,0.2624,0.285218,756500.0,0.005027
2014-02-06,0.270466,0.276429,0.269765,0.522888,1238400.0,0.009171
2014-02-07,0.264483,0.271956,0.262223,0.435726,508100.0,0.007572
2014-02-10,0.262741,0.266708,0.259119,0.118847,838300.0,0.00205
2014-02-11,0.277543,0.292862,0.276166,1.410198,804600.0,0.024274
2014-02-12,0.253149,0.261215,0.252645,0.521221,1270700.0,0.008759
2014-02-13,0.263425,0.267923,0.257761,0.962242,3167800.0,0.01603
2014-02-14,0.246279,0.256117,0.245295,0.44101,480700.0,0.007231
2014-02-18,0.260285,0.271354,0.259796,1.106563,1834900.0,0.018013
2014-02-19,0.248059,0.254615,0.242942,-0.192432,761700.0,-0.003077
2014-02-20,0.258487,0.262016,0.253515,0.689587,991900.0,0.011061
2014-02-21,0.2517,0.254397,0.24694,0.02407,1171900.0,0.000382
2014-02-24,0.245989,0.269776,0.243452,0.465065,994600.0,0.007375
2014-02-25,0.239858,0.244108,0.231672,-0.465065,1036900.0,-0.007321
2014-02-26,0.241707,0.24583,0.236157,-0.25661,1018700.0,-0.004069
2014-02-27,0.236749,0.245825,0.234679,-0.168381,489900.0,-0.002681
2014-02-28,0.247418,0.25125,0.240553,-0.152363,612500.0,-0.002433
2014-03-03,0.232215,0.237816,0.227253,-0.882023,906200.0,-0.014117
2014-03-04,0.267716,0.274534,0.266417,1.339081,832500.0,0.021739
2014-03-05,0.240903,0.247417,0.23979,-0.264599,405000.0,-0.004204
2014-03-06,0.238802,0.244865,0.236728,-0.336792,394800.0,-0.005374
2014-03-07,0.249826,0.251912,0.244693,0.072163,341400.0,0.001158
2014-03-10,0.244535,0.253829,0.243574,0.288681,425200.0,0.004626
2014-03-11,0.241038,0.247896,0.238805,-0.352814,480800.0,-0.005627
2014-03-12,0.237315,0.245816,0.23539,-0.30471,418500.0,-0.004888
2014-03-13,0.251773,0.25403,0.22421,-1.106575,514800.0,-0.017836
2014-03-14,0.246114,0.255469,0.245294,0.264625,772400.0,0.004343
2014-03-17,0.253962,0.257557,0.243831,0.016014,706400.0,0.000262
2014-03-18,0.247263,0.257718,0.245629,0.184449,778100.0,0.003013
2014-03-19,0.245959,0.251008,0.231626,-0.416974,432800.0,-0.006791
2014-03-20,0.230045,0.243327,0.228405,-0.264606,558600.0,-0.004339
2014-03-21,0.240182,0.255828,0.239029,-0.056137,651400.0,-0.000925
2014-03-24,0.25122,0.252539,0.239516,0.024052,446400.0,0.000396
2014-03-25,0.257316,0.263742,0.250889,0.617431,307400.0,0.010174
2014-03-26,0.254766,0.255908,0.245631,0.024063,680400.0,0.000393
2014-03-27,0.252643,0.259655,0.250197,0.240555,536900.0,0.003923
2014-03-28,0.26188,0.26594,0.259443,0.930164,694100.0,0.015108
2014-03-31,0.255899,0.2591,0.247579,0.136315,1357900.0,0.002181
2014-04-01,0.247578,0.253006,0.241511,-0.024059,807300.0,-0.000384
2014-04-02,0.244543,0.2463,0.237995,-0.248578,463000.0,-0.00397
2014-04-03,0.245976,0.248542,0.24325,0.008019,435800.0,0.000129
2014-04-04,0.252551,0.258002,0.246939,0.064148,357500.0,0.001029
2014-04-07,0.248541,0.254147,0.244857,-0.080181,262400.0,-0.001284
2014-04-08,0.259448,0.262174,0.256882,0.745723,445100.0,0.01196
2014-04-09,0.251854,0.258827,0.247733,0.553299,727600.0,0.008769
2014-04-10,0.245685,0.247099,0.234687,-0.609409,274500.0,-0.009574
2014-04-11,0.242023,0.253602,0.242023,-0.032089,477000.0,-0.000509
2014-04-14,0.252654,0.261541,0.248845,0.617424,591900.0,0.009799
2014-04-15,0.256215,0.259201,0.248356,0.585369,548300.0,0.0092
2014-04-16,0.246476,0.248345,0.243517,-0.0401,412100.0,-0.000624
2014-04-17,0.249904,0.259721,0.249904,0.585373,823300.0,0.009122
2014-04-21,0.243084,0.248952,0.243084,0.0,211900.0,0.0
2014-04-22,0.241385,0.245709,0.238606,-0.425003,419100.0,-0.006563
2014-04-23,0.251296,0.253472,0.248964,0.264618,376900.0,0.004113
2014-04-24,0.249266,0.25391,0.245706,0.272636,317800.0,0.004221
2014-04-25,0.242474,0.245403,0.238158,-0.256599,503200.0,-0.003956
2014-04-28,0.25329,0.255456,0.248337,0.20848,497800.0,0.003227
2014-04-29,0.254504,0.263297,0.254195,0.745736,750200.0,0.011504
2014-04-30,0.300021,0.300326,0.28904,2.309372,2231100.0,0.035221
2014-05-01,0.25697,0.25697,0.242826,0.136299,1031100.0,0.002008
2014-05-02,0.246511,0.256509,0.245482,0.304718,1216400.0,0.00448
2014-05-05,0.242415,0.249294,0.241976,0.0,510900.0,0.0
2014-05-06,0.249587,0.253393,0.246953,0.16037,884100.0,0.002347
2014-05-07,0.260096,0.264769,0.255861,0.777801,932700.0,0.011358
2014-05-08,0.256196,0.257639,0.250998,0.272629,726400.0,0.003936
2014-05-09,0.247243,0.24825,0.241634,-0.112251,1085200.0,-0.001614
2014-05-12,0.254878,0.256895,0.247531,0.264618,697400.0,0.003812
2014-05-13,0.24839,0.250974,0.245664,0.176414,420600.0,0.002532
2014-05-14,0.222764,0.233214,0.222191,-0.421532,431200.0,-0.006034
2014-05-15,0.241708,0.242284,0.236092,0.210755,630500.0,0.003035
2014-05-16,0.238238,0.24312,0.237663,0.535019,500400.0,0.007682
2014-05-19,0.246182,0.248034,0.240482,0.54309,797700.0,0.007738
2014-05-20,0.218656,0.219645,0.211303,-1.053787,574000.0,-0.0149
2014-05-21,0.238523,0.238954,0.233213,0.210762,831300.0,0.003025
2014-05-22,0.182128,0.190141,0.18084,-2.618271,2758900.0,-0.037467
2014-05-23,0.222939,0.225764,0.219966,-0.583618,856000.0,-0.008677
2014-05-27,0.233343,0.234843,0.224345,-0.437721,505500.0,-0.006564
2014-05-28,0.235152,0.236058,0.231227,0.0,478900.0,0.0
2014-05-29,0.243002,0.245267,0.237568,0.356644,391600.0,0.005384
2014-05-30,0.224784,0.229439,0.222082,-0.259384,573400.0,-0.003895
2014-06-02,0.240276,0.24118,0.233492,0.308021,541900.0,0.004643
2014-06-03,0.238144,0.244296,0.237394,0.470162,447300.0,0.007054
2014-06-04,0.227981,0.22813,0.219787,-0.632287,467500.0,-0.00942
2014-06-05,0.236501,0.23996,0.232891,0.26751,318200.0,0.004024
2014-06-06,0.239635,0.245178,0.238587,0.583633,242200.0,0.008743
2014-06-09,0.232752,0.233049,0.229188,-0.178329,316400.0,-0.002648
2014-06-10,0.23275,0.235877,0.230963,-0.008103,193100.0,-0.000121
2014-06-11,0.232452,0.235132,0.22992,-0.137825,201000.0,-0.002052
2014-06-12,0.246924,0.252297,0.245731,0.697129,195600.0,0.010403
2014-06-13,0.249741,0.25048,0.242505,0.70523,413100.0,0.010415
2014-06-16,0.238613,0.24329,0.236274,0.380997,342600.0,0.005569
2014-06-17,0.225212,0.229282,0.223468,-0.275619,324200.0,-0.004006
2014-06-18,0.252908,0.262248,0.251448,1.588791,597600.0,0.023187
2014-06-19,0.240347,0.242487,0.233215,0.089172,481800.0,0.001272
2014-06-20,0.234783,0.239199,0.231791,0.016212,480700.0,0.000231
2014-06-23,0.234213,0.239055,0.234213,0.30803,283700.0,0.004387
2014-06-24,0.229673,0.230665,0.21918,-0.802506,664200.0,-0.011379
2014-06-25,0.229914,0.232209,0.223747,-0.218857,437400.0,-0.003139
2014-06-26,0.237672,0.245441,0.22832,0.575531,908000.0,0.008281
2014-06-27,0.242348,0.243632,0.23821,0.518791,753600.0,0.007403
2014-06-30,0.230102,0.235768,0.225286,-0.064842,603900.0,-0.000918
2014-07-01,0.24059,0.244844,0.237471,0.478241,532100.0,0.006781
2014-07-02,0.235756,0.241107,0.234207,0.259407,309200.0,0.003653
2014-07-03,0.230276,0.231959,0.225365,-0.259407,207500.0,-0.00364
2014-07-07,0.231672,0.232939,0.225616,-0.324234,325900.0,-0.004566
2014-07-08,0.229682,0.231804,0.22473,-0.397209,357000.0,-0.005619
2014-07-09,0.22966,0.241468,0.226672,0.372887,383300.0,0.005305
2014-07-10,0.22218,0.222888,0.214821,-0.891671,335300.0,-0.012619
2014-07-11,0.243246,0.246113,0.239377,0.583641,457500.0,0.008365
2014-07-14,0.232933,0.236912,0.229379,0.07296,516800.0,0.001037
2014-07-15,0.236199,0.238897,0.228389,-0.07296,403800.0,-0.001036
