date,open,high,low,close,volume,target
2014-01-02,0.127029,0.127677,0.108883,-0.256578,6029100.0,-0.016629
2014-01-03,0.125656,0.130929,0.115112,-0.176947,11362700.0,-0.011662
2014-01-06,0.132937,0.134937,0.124268,-0.044238,10370200.0,-0.00295
2014-01-07,0.13027,0.13562,0.125588,0.008847,13083100.0,0.000592
2014-01-08,0.140296,0.14698,0.139627,0.159257,13428900.0,0.010645
2014-01-09,0.122333,0.123656,0.101831,-0.291968,9422200.0,-0.01931
2014-01-10,0.135665,0.147129,0.134316,0.123864,11148000.0,0.008353
2014-01-13,0.137626,0.146321,0.13027,0.008847,10286100.0,0.000592
2014-01-14,0.140296,0.162353,0.138959,0.415829,13334500.0,0.027794
2014-01-15,0.136773,0.15108,0.133521,0.159254,15510900.0,0.010357
2014-01-16,0.152798,0.170177,0.151511,0.522001,21768200.0,0.033599
2014-01-17,0.11906,0.11906,0.102246,-0.336203,14574800.0,-0.020937
2014-01-21,0.13027,0.134086,0.120729,-0.070781,8371500.0,-0.004502
2014-01-22,0.135381,0.148799,0.132186,0.238881,12870700.0,0.015263
2014-01-23,0.1202,0.129011,0.108243,-0.230033,8872200.0,-0.014477
2014-01-24,0.131547,0.13474,0.118137,-0.115016,12403200.0,-0.007345
2014-01-27,0.113544,0.114187,0.094888,-0.371594,11006600.0,-0.023904
2014-01-28,0.132906,0.137519,0.123679,0.00885,7525700.0,0.000583
2014-01-29,0.127635,0.135539,0.118414,-0.132713,9378900.0,-0.008741
2014-01-30,0.137579,0.146881,0.13625,0.115017,7230000.0,0.007643
2014-01-31,0.121038,0.128951,0.112465,-0.194645,13590600.0,-0.012836
2014-02-03,0.13695,0.142962,0.114238,-0.13271,14171700.0,-0.008865
2014-02-04,0.13027,0.13701,0.125552,-0.026544,12321900.0,-0.001789
2014-02-05,0.122168,0.125543,0.110014,-0.247728,14334100.0,-0.016726
2014-02-06,0.14675,0.166664,0.14675,0.468913,10142700.0,0.032199
2014-02-07,0.138253,0.148897,0.136257,0.15041,9430700.0,0.010006
2014-02-10,0.128952,0.140808,0.126318,0.088473,8003300.0,0.005827
2014-02-11,0.132889,0.142712,0.125686,0.115015,9631800.0,0.007532
2014-02-12,0.134819,0.137419,0.12572,-0.008847,6962800.0,-0.000575
2014-02-13,0.121816,0.139374,0.121816,0.061936,6564600.0,0.004028
2014-02-14,0.140633,0.163303,0.139985,0.389285,11269900.0,0.025215
2014-02-18,0.131533,0.133429,0.117002,-0.088473,6412700.0,-0.00559
2014-02-19,0.126458,0.135988,0.118834,-0.026542,8702500.0,-0.001686
2014-02-20,0.120087,0.130906,0.111177,-0.061935,11836500.0,-0.003942
2014-02-21,0.137937,0.141771,0.13027,0.04424,6013200.0,0.002827
2014-02-24,0.128358,0.133455,0.124535,-0.04424,5499200.0,-0.002819
2014-02-25,0.127075,0.132186,0.12388,-0.06193,5944700.0,-0.003957
2014-02-26,0.131552,0.146306,0.13027,0.185795,9376100.0,0.011918
2014-02-27,0.129002,0.14168,0.127734,0.159253,8659800.0,0.010095
2014-02-28,0.130897,0.139056,0.128387,0.053087,11279600.0,0.003332
2014-03-03,0.117134,0.130895,0.111505,-0.035391,18168800.0,-0.002214
2014-03-04,0.13215,0.136538,0.129016,0.008848,12548700.0,0.000555
2014-03-05,0.148439,0.154078,0.144053,0.309661,9863100.0,0.019401
2014-03-06,0.151781,0.161,0.147479,0.424677,14240300.0,0.026101
2014-03-07,0.138655,0.139254,0.119488,-0.088474,14153200.0,-0.005299
2014-03-10,0.126055,0.141711,0.124248,0.168098,10652100.0,0.010122
2014-03-11,0.127885,0.13027,0.114174,-0.168098,8748200.0,-0.010021
