date,open,high,low,close,volume,target
2017-01-03,0.296333,0.298599,0.276142,-0.162781,9328200.0,-0.003354
2017-01-04,0.294907,0.318886,0.294907,0.682098,8674800.0,0.0141
2017-01-05,0.291986,0.303606,0.284852,0.372047,5359400.0,0.007584
2017-01-06,0.292377,0.294805,0.285094,0.015507,4722300.0,0.000314
2017-01-09,0.290354,0.302084,0.289343,0.325542,8794500.0,0.006584
2017-01-10,0.286937,0.295979,0.281311,-0.108517,6523500.0,-0.00218
2017-01-11,0.276258,0.281694,0.220076,-1.792892,13565200.0,-0.036103
2017-01-12,0.269535,0.283323,0.262223,0.109612,8194400.0,0.00229
2017-01-13,0.278723,0.300817,0.27247,0.555878,7295100.0,0.011586
2017-01-17,0.272319,0.278294,0.258926,-0.101788,8446700.0,-0.002097
2017-01-18,0.2752,0.283046,0.266115,-0.156582,5519400.0,-0.003233
2017-01-19,0.272914,0.281822,0.266078,-0.219212,5384200.0,-0.004541
2017-01-20,0.277888,0.28538,0.271021,-0.18008,6730000.0,-0.003747
2017-01-23,0.274549,0.279562,0.267447,-0.14875,5244700.0,-0.003107
2017-01-24,0.276217,0.276636,0.250235,-0.297512,6642000.0,-0.006234
2017-01-25,0.277686,0.299402,0.272204,0.626343,8052800.0,0.013206
2017-01-26,0.272686,0.288085,0.270813,-0.086132,7765300.0,-0.001792
2017-01-27,0.250789,0.276847,0.240783,-0.994305,14151200.0,-0.020728
2017-01-30,0.275348,0.287269,0.261724,0.336658,7792700.0,0.007167
2017-01-31,0.268387,0.296075,0.262891,0.532383,8149800.0,0.011253
2017-02-01,0.276428,0.277055,0.259707,-0.172241,5888700.0,-0.0036
2017-02-02,0.27223,0.282089,0.268664,0.0,5365300.0,0.0
2017-02-03,0.277474,0.28083,0.267825,-0.172253,6470300.0,-0.003613
2017-02-06,0.273896,0.28358,0.270528,-0.015652,5358100.0,-0.00033
2017-02-07,0.277264,0.281897,0.271999,-0.070465,4210300.0,-0.001484
2017-02-08,0.268406,0.286966,0.266508,-0.031315,5357800.0,-0.00066
2017-02-09,0.277264,0.287395,0.275154,0.250534,4324600.0,0.005287
2017-02-10,0.277474,0.280623,0.265298,-0.328827,5749200.0,-0.006903
2017-02-13,0.280647,0.286566,0.277476,0.070461,6396000.0,0.00149
2017-02-14,0.275787,0.287185,0.269665,0.24271,13562200.0,0.005123
2017-02-15,0.279364,0.298685,0.268444,0.649818,8927600.0,0.013647
2017-02-16,0.277679,0.282651,0.259861,-0.133099,5662000.0,-0.002758
2017-02-17,0.278511,0.28973,0.270824,0.227058,8124400.0,0.004717
2017-02-21,0.278712,0.284295,0.271681,0.046978,8503500.0,0.000971
2017-02-22,0.274992,0.279743,0.266316,-0.367977,6422200.0,-0.007602
2017-02-23,0.283925,0.295582,0.279138,0.45409,8057700.0,0.009452
2017-02-24,0.276852,0.283244,0.267985,0.117435,6536400.0,0.002422
2017-02-27,0.275825,0.283024,0.26883,0.101788,5214100.0,0.002094
2017-02-28,0.275006,0.280959,0.266384,-0.297508,6756100.0,-0.006107
2017-03-01,0.283874,0.299777,0.279536,0.775093,7737400.0,0.016009
2017-03-02,0.276248,0.292917,0.272589,0.328831,8190000.0,0.006685
2017-03-03,0.274437,0.282918,0.268783,0.070461,6125800.0,0.001423
2017-03-06,0.270408,0.287548,0.267988,0.164402,6837000.0,0.003315
2017-03-07,0.269024,0.289123,0.265607,0.109615,9638000.0,0.002203
2017-03-08,0.278468,0.297118,0.273454,0.352318,7049700.0,0.007066
2017-03-09,0.277264,0.288814,0.275472,0.281853,6957000.0,0.005613
2017-03-10,0.293106,0.315879,0.289344,1.080437,12788100.0,0.021395
2017-03-13,0.27707,0.278428,0.266019,-0.023491,7577400.0,-0.000455
2017-03-14,0.277846,0.281144,0.272415,-0.140923,3727200.0,-0.002733
2017-03-15,0.277848,0.299048,0.277459,0.688969,5241200.0,0.0134
2017-03-16,0.274385,0.275345,0.258072,-0.5089,5162800.0,-0.009767
2017-03-17,0.279978,0.280947,0.269512,-0.164413,11288000.0,-0.003187
2017-03-20,0.279014,0.283486,0.274737,0.086121,4252100.0,0.001675
2017-03-21,0.28037,0.281147,0.262512,-0.352318,5187400.0,-0.006839
2017-03-22,0.277851,0.284692,0.272378,0.133099,5662600.0,0.002601
2017-03-23,0.277264,0.287986,0.274145,0.10178,4099500.0,0.001984
2017-03-24,0.274541,0.286214,0.270844,-0.023479,4056300.0,-0.000457
2017-03-27,0.272398,0.290111,0.269868,0.37579,4962300.0,0.007315
2017-03-28,0.274559,0.27939,0.268376,-0.093937,5067400.0,-0.001815
2017-03-29,0.276683,0.282878,0.271457,-0.164433,3649900.0,-0.003183
2017-03-30,0.27707,0.278236,0.267166,-0.242691,3749600.0,-0.004713
2017-03-31,0.277264,0.278435,0.271215,-0.234886,4057800.0,-0.004583
2017-04-03,0.278833,0.285693,0.271776,-0.101768,5229600.0,-0.001995
2017-04-04,0.279032,0.282567,0.273336,0.062626,3457900.0,0.00123
2017-04-05,0.279618,0.290015,0.27236,-0.117439,4396300.0,-0.002304
2017-04-06,0.278641,0.281787,0.271169,0.093952,4628400.0,0.001847
2017-04-07,0.276872,0.293946,0.272358,0.360146,6089300.0,0.007068
2017-04-10,0.276485,0.281941,0.264987,-0.446266,7136200.0,-0.008697
2017-04-11,0.266648,0.266648,0.244826,-0.118607,5404500.0,-0.002332
2017-04-12,0.264485,0.269215,0.254633,0.150246,6122000.0,0.002961
2017-04-13,0.262128,0.271559,0.258984,-0.189781,3896700.0,-0.003729
2017-04-17,0.277698,0.281248,0.263302,0.142326,4189500.0,0.002807
2017-04-18,0.259176,0.260159,0.241281,-0.521866,4755800.0,-0.010263
2017-04-19,0.26965,0.270246,0.257927,-0.158142,4057100.0,-0.003142
2017-04-20,0.270064,0.275645,0.261493,0.260925,5708600.0,0.005201
2017-04-21,0.264286,0.274795,0.260122,0.031635,4154900.0,0.000627
2017-04-24,0.276176,0.291236,0.273402,0.6642,7121000.0,0.013162
2017-04-25,0.270159,0.283654,0.267812,0.347904,5352900.0,0.006805
2017-04-26,0.266431,0.280612,0.263128,-0.04744,5008900.0,-0.000922
2017-04-27,0.272655,0.312516,0.266238,0.814434,11692900.0,0.015836
2017-04-28,0.264491,0.269468,0.252623,-0.102791,5521100.0,-0.001968
2017-05-01,0.265833,0.278683,0.264682,0.426991,4575800.0,0.008189
2017-05-02,0.265253,0.268487,0.258975,0.118603,4342800.0,0.002256
2017-05-03,0.261266,0.269427,0.25671,0.086975,4993400.0,0.001651
2017-05-04,0.264682,0.277189,0.262409,0.387459,4287400.0,0.007342
2017-05-05,0.26393,0.264494,0.247564,-0.189777,4587800.0,-0.00357
2017-05-08,0.263738,0.263927,0.248635,-0.61676,4497400.0,-0.011644
2017-05-09,0.264491,0.278817,0.257997,-0.031635,4395200.0,-0.000604
2017-05-10,0.264492,0.265829,0.249201,-0.150215,5140200.0,-0.002871
2017-05-11,0.263149,0.264299,0.239381,-0.537685,7853800.0,-0.010306
2017-05-12,0.264101,0.281919,0.262939,0.600937,6093500.0,0.011639
2017-05-15,0.264874,0.279806,0.262576,0.482334,8527900.0,0.009234
2017-05-16,0.265821,0.269425,0.258233,0.142323,6313500.0,0.0027
2017-05-17,0.264682,0.264682,0.222306,-1.170246,12771400.0,-0.022139
2017-05-18,0.264682,0.278805,0.261393,0.205582,6001000.0,0.003977
2017-05-19,0.266802,0.272005,0.258516,-0.039543,6731800.0,-0.000762
2017-05-22,0.264104,0.265454,0.249641,-0.110699,5541700.0,-0.002135
2017-05-23,0.264683,0.28053,0.264489,0.31628,4676500.0,0.006112
2017-05-24,0.263722,0.270061,0.259496,0.071167,3174600.0,0.001367
2017-05-25,0.267176,0.276959,0.262189,0.30838,4058300.0,0.005915
2017-05-26,0.26125,0.266399,0.25572,-0.205578,4083000.0,-0.00392
2017-05-30,0.261428,0.267362,0.259896,-0.031643,4803900.0,-0.000606
2017-05-31,0.268897,0.272154,0.256829,0.0,6935800.0,0.0
2017-06-01,0.26928,0.278092,0.266598,0.545597,4554700.0,0.010451
2017-06-02,0.266578,0.276057,0.262976,0.426987,5646000.0,0.008095
2017-06-05,0.264682,0.276154,0.257724,0.205593,4918100.0,0.003866
2017-06-06,0.26412,0.275735,0.26206,0.284649,5494500.0,0.005332
2017-06-07,0.267291,0.291702,0.267291,0.695831,8406300.0,0.012966
2017-06-08,0.264682,0.270201,0.256956,0.007915,6082500.0,0.000146
2017-06-09,0.265418,0.284362,0.263946,0.719536,6159800.0,0.013234
2017-06-12,0.266861,0.268858,0.257058,-0.110703,6084300.0,-0.00201
2017-06-13,0.26632,0.273777,0.262682,0.110703,5269000.0,0.002014
2017-06-14,0.261234,0.285013,0.259237,0.672104,6639100.0,0.0122
2017-06-15,0.261454,0.267014,0.253205,0.063259,4682700.0,0.001134
2017-06-16,0.268265,0.273997,0.262712,0.35582,9342300.0,0.006374
2017-06-19,0.26575,0.274294,0.262724,0.229301,6396300.0,0.004082
2017-06-20,0.266455,0.273014,0.261492,-0.094875,6542800.0,-0.001682
2017-06-21,0.262729,0.273206,0.261664,0.094875,6096800.0,0.001685
2017-06-22,0.267342,0.305988,0.265924,1.454906,9998900.0,0.025792
2017-06-23,0.265028,0.27004,0.248783,-0.426971,7064500.0,-0.007379
2017-06-26,0.267294,0.269905,0.260678,0.079063,4019500.0,0.001377
2017-06-27,0.263987,0.270246,0.256163,-0.276741,4490600.0,-0.004812
2017-06-28,0.270448,0.284773,0.268002,0.419071,4196200.0,0.007321
2017-06-29,0.268672,0.269018,0.247166,-0.347904,4444700.0,-0.006034
2017-06-30,0.266253,0.270615,0.259971,0.02372,4729100.0,0.000414
2017-07-03,0.269043,0.273054,0.262241,-0.071171,2570700.0,-0.001241
2017-07-05,0.26573,0.270271,0.257173,0.047451,4751900.0,0.000829
2017-07-06,0.260495,0.264159,0.246012,-0.593029,4372100.0,-0.010348
2017-07-07,0.271382,0.271382,0.262919,0.237202,4333700.0,0.004182
2017-07-10,0.260644,0.268018,0.256781,-0.158123,3158300.0,-0.002776
2017-07-11,0.265738,0.270668,0.255879,0.007885,3535100.0,0.000139
2017-07-12,0.258873,0.269788,0.255176,0.542534,4860200.0,0.009551
2017-07-13,0.254462,0.271202,0.249754,0.598358,5189800.0,0.010434
2017-07-14,0.253243,0.26377,0.251345,0.382942,4335700.0,0.006609
2017-07-17,0.253244,0.259588,0.246215,-0.327095,3461600.0,-0.005608
2017-07-18,0.252209,0.256174,0.237037,-0.374981,5269100.0,-0.006465
2017-07-19,0.257754,0.262786,0.249772,0.430817,3904100.0,0.007476
2017-07-20,0.257205,0.278391,0.256344,0.989304,5329700.0,0.01704
2017-07-21,0.252908,0.27086,0.250706,0.494644,4961500.0,0.008377
2017-07-24,0.253416,0.255431,0.240148,-0.574421,5497800.0,-0.009647
2017-07-25,0.261725,0.264269,0.228995,-1.108974,6354200.0,-0.018807
2017-07-26,0.250823,0.256354,0.243564,0.055847,4877000.0,0.000965
2017-07-27,0.256696,0.257042,0.223889,-0.686115,7389300.0,-0.011847
2017-07-28,0.251843,0.265822,0.212351,-1.029194,8012400.0,-0.017984
2017-07-31,0.254839,0.255907,0.242561,-0.422855,7770400.0,-0.007524
2017-08-01,0.255567,0.27009,0.25234,0.374981,6681700.0,0.006723
2017-08-02,0.251101,0.259827,0.245402,0.263275,4922200.0,0.004689
2017-08-03,0.251643,0.258734,0.247212,0.223392,4400400.0,0.00396
2017-08-04,0.256594,0.260125,0.242116,0.0,4732500.0,0.0
2017-08-07,0.252533,0.257653,0.247236,0.183502,3551100.0,0.00324
2017-08-08,0.255352,0.265559,0.24972,0.199463,4398000.0,0.00351
2017-08-09,0.249733,0.265166,0.246927,0.438801,4536300.0,0.007696
2017-08-10,0.253242,0.256374,0.225048,-1.260559,5940300.0,-0.021938
2017-08-11,0.258754,0.263558,0.253238,0.151585,3248300.0,0.002697
2017-08-14,0.264063,0.265128,0.254658,0.151581,2648800.0,0.00269
2017-08-15,0.258017,0.259079,0.243859,-0.38295,3724100.0,-0.006778
2017-08-16,0.256089,0.260722,0.249317,0.063828,4751600.0,0.001137
2017-08-17,0.256619,0.258043,0.242914,-0.454769,5086000.0,-0.008095
2017-08-18,0.247494,0.264003,0.246597,0.087769,4016400.0,0.001575
2017-08-21,0.252699,0.269003,0.25252,0.590393,4666400.0,0.010578
2017-08-22,0.257139,0.274335,0.254479,0.837708,3589000.0,0.014851
2017-08-23,0.24538,0.256036,0.24503,-0.183506,3071300.0,-0.003206
2017-08-24,0.256921,0.267261,0.251313,0.470711,4088300.0,0.008249
2017-08-25,0.255328,0.265062,0.255154,0.295204,3871200.0,0.005131
2017-08-28,0.256701,0.272265,0.254799,0.670174,4574400.0,0.011589
2017-08-29,0.244184,0.263331,0.244184,0.454758,3390800.0,0.007774
2017-08-30,0.248836,0.258335,0.248157,0.023911,3189100.0,0.000406
2017-08-31,0.256638,0.278512,0.253416,1.101006,6177600.0,0.018669
2017-09-01,0.258243,0.265068,0.25275,0.095741,3831700.0,0.001594
2017-09-05,0.252917,0.256075,0.241949,-0.135628,6309100.0,-0.002254
2017-09-06,0.259412,0.290227,0.255081,1.436066,7755200.0,0.02392
2017-09-07,0.25732,0.341261,0.252602,3.773697,15377300.0,0.061389
2017-09-08,0.245906,0.319474,0.243147,2.84024,14809100.0,0.043531
2017-09-11,0.240491,0.279265,0.239316,1.324379,12687000.0,0.019452
2017-09-12,0.252984,0.267391,0.246212,0.598381,11155600.0,0.008621
2017-09-13,0.250987,0.268985,0.248702,0.574425,9172200.0,0.008205
2017-09-14,0.250015,0.265458,0.248882,0.598358,10272200.0,0.008477
2017-09-15,0.255804,0.260019,0.215484,-1.475975,20441500.0,-0.020735
2017-09-18,0.25485,0.259728,0.220563,-1.635536,9656700.0,-0.023464
2017-09-19,0.256648,0.273102,0.254297,0.83773,7786400.0,0.012307
2017-09-20,0.253851,0.269524,0.251674,0.829727,6559400.0,0.012041
2017-09-21,0.252699,0.257574,0.242804,0.0,7340300.0,0.0
2017-09-22,0.250691,0.258291,0.244238,0.055832,6807000.0,0.000801
2017-09-25,0.245392,0.257714,0.237942,-0.726006,8287000.0,-0.010402
2017-09-26,0.25023,0.258339,0.233001,-0.973343,5862400.0,-0.014093
2017-09-27,0.253416,0.254003,0.221695,-0.478683,6581200.0,-0.00703
2017-09-28,0.281812,0.345111,0.277523,3.358826,14809300.0,0.049676
2017-09-29,0.249611,0.25891,0.23524,-0.079811,6769400.0,-0.001125
2017-10-02,0.265829,0.27528,0.254121,1.220688,6600100.0,0.017218
2017-10-03,0.254109,0.256882,0.234418,-0.550499,4286900.0,-0.007634
2017-10-04,0.2509,0.263756,0.247966,0.159561,3251200.0,0.00223
2017-10-05,0.250488,0.262618,0.24756,0.223396,4382900.0,0.003115
2017-10-06,0.253694,0.2694,0.250219,0.247322,3461800.0,0.003438
2017-10-09,0.254524,0.263112,0.248706,0.231354,4331500.0,0.003205
2017-10-10,0.252449,0.259491,0.238504,0.311157,3560200.0,0.004296
2017-10-11,0.25754,0.273213,0.250666,0.96537,6298500.0,0.013272
2017-10-12,0.245139,0.248124,0.233471,-0.257111,4818200.0,-0.003488
2017-10-13,0.244596,0.250587,0.232751,-0.602539,6803900.0,-0.008204
2017-10-16,0.2494,0.262854,0.243222,0.297279,4640300.0,0.004081
2017-10-17,0.245416,0.268522,0.243502,0.907806,5280500.0,0.012412
2017-10-18,0.247163,0.302398,0.245138,3.1091,10979700.0,0.041988
2017-10-19,0.237734,0.25225,0.224903,0.353508,9303700.0,0.004582
2017-10-20,0.248603,0.267697,0.224219,-0.305283,6882600.0,-0.003939
2017-10-23,0.24253,0.243437,0.22336,-1.27739,4483900.0,-0.016545
2017-10-24,0.238015,0.239859,0.195475,-2.265541,10301100.0,-0.029838
2017-10-25,0.245954,0.250027,0.2317,0.064262,6924800.0,0.000872
2017-10-26,0.245953,0.245953,0.156162,-1.775482,10307500.0,-0.024082
2017-10-27,0.288373,0.319922,0.261271,1.904015,9066300.0,0.026463
