date,open,high,low,close,volume,target
2017-01-03,0.100262,0.10105,0.083142,-0.155602,7809300.0,-0.003062
2017-01-04,0.096733,0.109366,0.09318,0.585773,7796300.0,0.011563
2017-01-05,0.094344,0.103125,0.089075,0.430161,7602300.0,0.008394
2017-01-06,0.095878,0.108263,0.085234,0.613224,8587800.0,0.011867
2017-01-09,0.095074,0.115729,0.094883,0.979324,12640500.0,0.018729
2017-01-10,0.092963,0.093714,0.085642,-0.292877,6671800.0,-0.005498
2017-01-11,0.091078,0.097118,0.087113,0.201355,6028000.0,0.003801
2017-01-12,0.090707,0.093152,0.083937,-0.064075,4733000.0,-0.001205
2017-01-13,0.092588,0.093906,0.085433,-0.164734,4745600.0,-0.003102
2017-01-17,0.088244,0.100142,0.084278,0.137291,5734700.0,0.002593
2017-01-18,0.098616,0.103514,0.093153,0.411861,7375700.0,0.007759
2017-01-19,0.089971,0.092588,0.078942,-0.51255,7850500.0,-0.009581
2017-01-20,0.097306,0.098439,0.083529,-0.210506,7651600.0,-0.003973
2017-01-23,0.08804,0.097136,0.082924,0.091522,6814400.0,0.001734
2017-01-24,0.095804,0.106586,0.092588,0.622375,10704100.0,0.011773
2017-01-25,0.096888,0.101749,0.092775,0.23798,7117600.0,0.004449
2017-01-26,0.092588,0.098172,0.084398,-0.219673,12382400.0,-0.004089
2017-01-27,0.041939,0.057638,0.04007,-2.141701,28884900.0,-0.040027
2017-01-30,0.090251,0.094924,0.082075,-0.201355,13322000.0,-0.00392
2017-01-31,0.090633,0.092001,0.072651,-0.622368,14308000.0,-0.012164
2017-02-01,0.09793,0.098128,0.064689,-1.208149,18796900.0,-0.023905
2017-02-02,0.095426,0.10252,0.091574,-0.027454,15289700.0,-0.000557
2017-02-03,0.099483,0.117534,0.095427,1.089149,14161700.0,0.02209
2017-02-06,0.091596,0.10628,0.089413,0.613216,13029800.0,0.012168
2017-02-07,0.093764,0.094744,0.081805,-0.220646,9910500.0,-0.004326
2017-02-08,0.086702,0.092806,0.08493,-0.018375,11681900.0,-0.000362
2017-02-09,0.087883,0.105414,0.087489,0.542431,11106800.0,0.010684
2017-02-10,0.086127,0.099185,0.082814,0.376942,11179000.0,0.007346
2017-02-13,0.093104,0.096199,0.084011,-0.101131,8027900.0,-0.001957
2017-02-14,0.085942,0.097379,0.085942,0.432114,8865900.0,0.008376
2017-02-15,0.087302,0.093454,0.082496,0.257427,6967200.0,0.004949
2017-02-16,0.089599,0.090173,0.081374,-0.11953,8524500.0,-0.002287
2017-02-17,0.089029,0.103792,0.087303,0.570023,11008400.0,0.010929
2017-02-21,0.088824,0.096411,0.088635,0.174686,8289200.0,0.003313
2017-02-22,0.087308,0.093546,0.084095,0.02758,7876600.0,0.000521
2017-02-23,0.088253,0.091843,0.084286,0.064358,7178600.0,0.001216
2017-02-24,0.08712,0.089007,0.07844,-0.147099,7806200.0,-0.002776
2017-02-27,0.083145,0.08428,0.07217,-0.643578,7702400.0,-0.012178
2017-02-28,0.086346,0.09305,0.083281,0.082756,8750700.0,0.001585
2017-03-01,0.095337,0.097823,0.089025,0.248226,7198000.0,0.004748
2017-03-02,0.086354,0.088638,0.082166,-0.018387,6595400.0,-0.00035
2017-03-03,0.079689,0.090352,0.079689,-0.018383,7735900.0,-0.00035
2017-03-06,0.081591,0.082162,0.073019,-0.386143,9160000.0,-0.007356
2017-03-07,0.085767,0.08903,0.075021,-0.441299,10890300.0,-0.008469
2017-03-08,0.086719,0.090589,0.074913,-0.42292,13061600.0,-0.008185
2017-03-09,0.087882,0.088857,0.069539,-0.505669,17844200.0,-0.009867
2017-03-10,0.091628,0.091825,0.072511,-0.606785,13886400.0,-0.011959
2017-03-13,0.088484,0.094668,0.085093,0.091934,9090200.0,0.001834
2017-03-14,0.087487,0.089877,0.078926,-0.330971,7892900.0,-0.00659
2017-03-15,0.090091,0.095302,0.084079,0.24823,8712000.0,0.004975
2017-03-16,0.093869,0.096661,0.09008,0.239037,8074300.0,0.004767
2017-03-17,0.09245,0.114085,0.090664,0.900993,15822100.0,0.017883
2017-03-20,0.089441,0.092951,0.082422,0.027588,7948400.0,0.000538
2017-03-21,0.092364,0.100159,0.08145,-0.248241,8030600.0,-0.004838
2017-03-22,0.090428,0.097479,0.087099,0.321785,8452100.0,0.006302
2017-03-23,0.092746,0.098196,0.085546,-0.036774,7357200.0,-0.000716
2017-03-24,0.09275,0.117484,0.08866,0.882614,15763000.0,0.017189
2017-03-27,0.084814,0.09994,0.080985,0.386135,8861800.0,0.007393
2017-03-28,0.085216,0.093198,0.083885,0.110325,8331600.0,0.002097
2017-03-29,0.084273,0.097169,0.083514,0.174686,7001600.0,0.003313
2017-03-30,0.085985,0.102053,0.085418,0.570023,8677900.0,0.010775
2017-03-31,0.086751,0.097037,0.085816,0.211452,9156700.0,0.003955
