date,open,high,low,close,volume,target
2020-01-02,0.007819,0.01981,0.00374,6.23999,4485800.0,0.019285
2020-01-03,-0.009187,0.000152,-0.012977,-3.910004,3806900.0,-0.011855
2020-01-06,-0.00853,0.032096,-0.014422,9.929993,5663100.0,0.030469
2020-01-07,0.001906,0.002591,-0.016467,-5.079987,4703200.0,-0.015127
2020-01-08,0.002237,0.03613,0.000907,8.51001,7104500.0,0.025729
2020-01-09,0.008076,0.012262,-0.013706,-3.600006,4709300.0,-0.010611
2020-01-10,0.004379,0.008461,-0.024996,-6.610016,4718300.0,-0.019693
2020-01-13,0.008357,0.035861,0.007476,9.870026,6290000.0,0.029996
2020-01-14,0.016169,0.019061,-0.010032,-0.230011,7199400.0,-0.000679
2020-01-15,-3e-05,0.013227,-0.006171,0.380005,5158000.0,0.001122
2020-01-16,0.013065,0.013242,-0.009497,-0.450012,5016000.0,-0.001327
2020-01-17,0.007029,0.008712,-0.003662,1.050018,6066500.0,0.003101
2020-01-21,0.000971,0.003916,-0.020844,-1.560028,14350300.0,-0.004593
2020-01-22,-0.016444,-0.005353,-0.042915,-12.109985,21730000.0,-0.035817
2020-01-23,0.000123,0.073252,-0.003037,23.600006,18200300.0,0.072393
2020-01-24,-0.003261,0.029319,-0.010641,3.559998,17939700.0,0.010183
2020-01-27,-0.020416,-0.003568,-0.034375,-10.279999,7709500.0,-0.029109
2020-01-28,0.008749,0.027765,-0.000292,5.639984,6821600.0,0.016449
2020-01-29,0.001377,0.002525,-0.028607,-5.359985,7643500.0,-0.015379
2020-01-30,-0.006003,0.014687,-0.011394,4.579987,5328100.0,0.013347
2020-01-31,-0.001006,-0.001006,-0.01944,-2.649994,5230000.0,-0.007621
2020-02-03,0.00623,0.042134,0.003448,12.910004,6670600.0,0.037411
2020-02-04,0.00838,0.032318,-0.005307,11.01001,7161500.0,0.030754
2020-02-05,0.016585,0.01691,-0.018184,0.660004,6437000.0,0.001789
2020-02-06,-0.000189,0.005086,-0.019369,-2.720001,3920400.0,-0.007358
2020-02-07,-0.005205,0.013217,-0.009211,-0.180023,4385200.0,-0.000491
2020-02-10,-0.004826,0.021894,-0.011588,4.300018,5294100.0,0.011724
2020-02-11,0.007222,0.018972,-0.003638,2.619995,4772900.0,0.007061
2020-02-12,0.009339,0.018545,0.00586,6.320007,4624800.0,0.016912
2020-02-13,-0.008026,0.014105,-0.00921,1.389984,4485400.0,0.003658
2020-02-14,0.000184,0.009832,-0.005165,-1.0,3736300.0,-0.002622
2020-02-18,-0.002892,0.024027,-0.003181,7.380005,5173900.0,0.019401
2020-02-19,0.000877,0.013332,-0.007427,-1.589996,4896400.0,-0.0041
2020-02-20,0.000958,0.009089,-0.024625,-0.190002,4079400.0,-0.000492
2020-02-21,-0.001736,0.00342,-0.020984,-5.929993,3930100.0,-0.015363
2020-02-24,-0.040282,-0.019075,-0.050175,-11.369995,6936400.0,-0.029916
2020-02-25,0.00895,0.01885,-0.02978,-8.610016,6481200.0,-0.023352
2020-02-26,0.017273,0.060846,0.013635,19.149994,8934100.0,0.053181
2020-02-27,-0.020515,0.032486,-0.022782,-7.529999,10967700.0,-0.019855
2020-02-28,-0.020177,0.013613,-0.040112,-2.679993,11168600.0,-0.00721
2020-03-02,0.011056,0.033412,-0.012275,12.019989,6997900.0,0.032572
2020-03-03,-5.2e-05,0.032725,-0.035822,-12.279999,8364600.0,-0.032227
2020-03-04,0.024405,0.041327,0.004718,15.02002,5487300.0,0.04073
2020-03-05,-0.00727,0.019829,-0.039475,-11.01001,8747000.0,-0.028688
2020-03-06,-0.013627,-0.003943,-0.042733,-3.809998,8147200.0,-0.01022
2020-03-09,-0.068054,-0.031168,-0.073854,-22.480011,7405500.0,-0.060926
2020-03-10,0.028688,0.052094,0.003925,17.640015,7604400.0,0.050911
2020-03-11,-0.014308,-0.003158,-0.053113,-14.209991,6036000.0,-0.039025
2020-03-12,-0.06693,-0.040581,-0.121742,-34.670013,12071600.0,-0.09908
2020-03-13,0.048406,0.067153,-0.024933,21.049988,9458200.0,0.066772
2020-03-16,-0.088225,-0.005798,-0.12355,-37.459991,10559900.0,-0.111389
2020-03-17,0.024595,0.080511,-0.028744,20.910004,10013900.0,0.069971
2020-03-18,-0.054261,0.036998,-0.061767,-4.279999,12593600.0,-0.013385
2020-03-19,0.028085,0.104733,0.004279,16.559998,10616000.0,0.052493
2020-03-20,0.030961,0.055597,-9e-05,0.799988,10853800.0,0.002409
2020-03-23,0.045248,0.099991,0.024187,27.440002,13449400.0,0.082445
2020-03-24,0.02698,0.03514,-0.020096,-2.949982,11638700.0,-0.008188
2020-03-25,0.010355,0.013097,-0.050795,-14.929993,8767200.0,-0.041783
2020-03-26,0.004702,0.062648,-0.001928,20.599976,7229600.0,0.060165
2020-03-27,-0.010744,0.015345,-0.027521,-5.869995,7948800.0,-0.016171
2020-03-30,0.016465,0.057908,0.011341,13.839996,8622000.0,0.038754
2020-03-31,-0.008168,0.032483,-0.012185,4.540009,9366500.0,0.012239
2020-04-01,0.001465,0.012597,-0.038562,-11.420013,6672500.0,-0.030413
2020-04-02,0.0,0.018979,-0.011041,6.0,4592500.0,0.01648
2020-04-03,-0.007052,0.002216,-0.033966,-8.319977,4860800.0,-0.022482
2020-04-06,0.009564,0.051222,-0.000138,18.199982,8183900.0,0.05031
